Scheme Name,Plan,Category Name,Crisil Rating,AuM (Cr),1W,1M,3M,6M,YTD,1Y,2Y,3Y,5Y,10Y
Motilal Oswal ELSS Tax Saver Fund - Growth,Regular,ELSS,5,"4,194.64",4.80%,4.66%,13.08%,29.16%,47.41%,67.52%,46.19%,26.63%,26.13%,-
Invesco India Focused Fund - Growth,Regular,Focused Fund,5,"3,249.98",2.67%,2.09%,8.39%,21.46%,43.40%,65.92%,40.41%,21.56%,-,-
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"18,604.02",2.55%,3.95%,12.64%,33.68%,52.81%,72.20%,47.21%,36.99%,35.53%,23.29%
Motilal Oswal Midcap Fund - Growth,Regular,Mid Cap Fund,5,"18,604.02",2.53%,3.86%,12.34%,32.96%,51.51%,70.32%,45.58%,35.46%,33.96%,21.80%
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,"2,415.00",1.91%,0.83%,3.44%,22.32%,35.97%,58.28%,46.18%,23.98%,-,-
ITI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,5,"2,415.00",1.88%,0.70%,3.00%,21.27%,34.13%,55.55%,43.64%,21.67%,-,-
Invesco India Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,"1,666.48",1.85%,1.00%,-2.00%,18.24%,39.06%,63.31%,46.58%,29.56%,32.67%,18.88%
Invesco India Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,"6,493.35",1.85%,2.69%,8.46%,24.30%,38.81%,57.47%,37.36%,21.72%,23.28%,17.01%
Mahindra Manulife Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"3,442.41",1.42%,1.34%,4.51%,21.61%,36.39%,54.05%,43.64%,26.74%,32.38%,-
Mahindra Manulife Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,5,"3,442.41",1.39%,1.22%,4.13%,20.71%,34.81%,51.78%,41.44%,24.73%,30.27%,-
ITI ELSS Tax Saver Fund - Direct Plan - Growth,Direct Plan,ELSS,5,411.63,1.21%,1.95%,4.48%,18.69%,32.34%,54.04%,39.58%,20.57%,-,-
Bank of India Flexi Cap Fund - Direct Plan - Growth,Direct Plan,Flexi Cap Fund,5,"1,918.25",0.75%,0.44%,-0.44%,14.69%,33.18%,53.75%,39.65%,23.96%,-,-
ITI Multi Cap Fund - Direct Plan - Growth,Direct Plan,Multi Cap Fund,5,"1,425.12",0.73%,0.04%,1.42%,15.22%,27.91%,45.44%,37.10%,19.95%,21.08%,-
Bank of India Flexi Cap Fund - Regular Plan - Growth,Regular,Flexi Cap Fund,5,"1,918.25",0.72%,0.31%,-0.82%,13.78%,31.62%,51.48%,37.62%,22.10%,-,-
ITI Multi Cap Fund - Regular Plan - Growth,Regular,Multi Cap Fund,5,"1,425.12",0.70%,-0.09%,1.02%,14.29%,26.23%,42.99%,34.62%,17.66%,18.66%,-
JM ELSS Tax Saver Fund - Growth,Regular,ELSS,5,186.75,0.64%,-0.34%,3.51%,22.06%,35.52%,48.91%,36.31%,20.27%,23.81%,17.51%
ITI Mid Cap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"1,162.93",0.55%,-0.94%,-0.91%,18.80%,37.44%,59.73%,41.26%,24.12%,-,-
HDFC Focused 30 Fund - Direct Plan - Growth,Direct Plan,Focused Fund,5,"15,109.01",0.52%,0.96%,4.70%,17.18%,28.35%,44.00%,34.30%,26.40%,25.87%,16.05%
ITI Mid Cap Fund - Regular Plan - Growth,Regular,Mid Cap Fund,5,"1,162.93",0.51%,-1.07%,-1.33%,17.77%,35.58%,56.94%,38.63%,21.64%,-,-
HDFC Focused 30 Fund - Growth,Regular,Focused Fund,5,"15,109.01",0.50%,0.87%,4.40%,16.48%,27.15%,42.27%,32.59%,24.75%,24.37%,14.80%
Nippon India Large Cap Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,"34,432.09",0.43%,0.37%,2.10%,11.83%,23.59%,36.37%,31.55%,21.20%,23.22%,16.70%
Franklin India Smaller Companies Fund - Growth,Regular,Small Cap Fund,5,"14,460.02",0.42%,-1.52%,0.16%,17.78%,25.47%,41.81%,40.16%,24.91%,30.56%,18.96%
Nippon India Large Cap Fund - Growth,Regular,Large Cap Fund,5,"34,432.09",0.42%,0.30%,1.87%,11.34%,22.74%,35.19%,30.44%,20.17%,22.18%,15.64%
Bandhan Core Equity Fund - Regular Plan - Growth,Regular,Large & Mid Cap Fund,5,"6,982.00",0.35%,-0.60%,4.97%,19.54%,34.14%,51.58%,39.33%,24.00%,26.01%,17.17%
Sundaram Consumption Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,"1,723.71",0.23%,1.20%,11.40%,24.73%,27.24%,37.87%,29.22%,20.95%,21.66%,17.19%
Sundaram Consumption Fund - Growth,Regular,Sectoral/Thematic,5,"1,723.71",0.22%,1.13%,11.17%,24.18%,26.38%,36.67%,28.11%,19.86%,20.62%,16.30%
Bank of India Manufacturing & Infrastructure Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,528.69,0.21%,0.49%,1.53%,18.91%,35.07%,54.46%,42.84%,28.80%,33.48%,19.86%
Bank of India Manufacturing & Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,528.69,0.17%,0.36%,1.14%,18.02%,33.51%,52.30%,40.93%,27.09%,31.75%,18.30%
JM Flexi Cap Fund - Direct - Growth,Direct Plan,Flexi Cap Fund,5,"4,531.48",0.15%,0.08%,0.90%,21.04%,38.16%,56.02%,44.47%,27.38%,27.36%,20.03%
JM Flexi Cap Fund - Growth,Regular,Flexi Cap Fund,5,"4,531.48",0.13%,-0.04%,0.54%,20.16%,36.50%,53.70%,42.69%,26.00%,26.14%,18.73%
Bank of India Bluechip Fund - Direct Plan - Growth,Direct Plan,Large Cap Fund,5,198.82,0.12%,0.41%,-0.46%,8.02%,20.31%,37.58%,27.85%,14.34%,-,-
Quant Large and Mid Cap Fund - Direct Plan - Growth,Direct Plan,Large & Mid Cap Fund,5,"3,827.97",0.07%,-0.18%,-1.44%,10.00%,29.72%,52.94%,37.31%,26.29%,30.84%,21.54%
Bank of India Bluechip Fund - Regular Plan - Growth,Regular,Large Cap Fund,5,198.82,0.06%,0.24%,-0.78%,7.32%,19.14%,35.96%,26.45%,13.01%,-,-
Quant Large and Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,"3,827.97",0.05%,-0.29%,-1.75%,9.30%,28.44%,50.98%,35.27%,24.32%,29.21%,20.68%
JM Value Fund - (Direct) - Growth,Direct Plan,Value Fund,5,"1,084.63",0.03%,-2.03%,-0.14%,19.99%,33.32%,50.43%,47.16%,27.40%,28.00%,20.30%
JM Value Fund - Growth,Regular,Value Fund,5,"1,084.63",0.01%,-2.14%,-0.47%,19.19%,31.92%,48.64%,45.79%,26.32%,27.02%,19.15%
SBI Long Term Equity Fund - Direct Plan - Growth,Direct Plan,ELSS,5,"28,732.52",-0.11%,0.56%,3.32%,15.71%,33.97%,51.98%,41.88%,26.11%,27.85%,16.79%
SBI Long Term Equity Fund - Regular Plan - Growth,Regular,ELSS,5,"28,732.52",-0.12%,0.51%,3.15%,15.31%,33.26%,50.94%,40.91%,25.28%,27.02%,16.04%
JM Large Cap Fund - (Direct) - Growth,Direct Plan,Large Cap Fund,5,429.06,-0.47%,-0.83%,-0.67%,10.94%,23.21%,39.38%,30.61%,18.48%,20.75%,13.91%
JM Large Cap Fund - Growth,Regular,Large Cap Fund,5,429.06,-0.50%,-0.96%,-1.04%,10.14%,21.89%,37.67%,29.34%,17.39%,19.57%,12.65%
SBI Contra Fund - Direct Plan - Growth,Direct Plan,Contra Fund,5,"41,326.63",-0.53%,0.01%,2.55%,13.06%,25.17%,41.38%,35.96%,26.22%,33.13%,18.55%
SBI Contra Fund - Regular Plan - Growth,Regular,Contra Fund,5,"41,326.63",-0.55%,-0.07%,2.31%,12.52%,24.24%,40.04%,34.70%,25.12%,32.10%,17.71%
DSP Natural Resources and New Energy Fund - Direct Plan - Growth,Direct Plan,Sectoral/Thematic,5,"1,335.59",-2.19%,4.63%,0.32%,10.39%,27.87%,48.98%,39.57%,21.22%,27.00%,19.27%
DSP Natural Resources and New Energy Fund - Regular Plan - Growth,Regular,Sectoral/Thematic,5,"1,335.59",-2.21%,4.54%,0.04%,9.78%,26.77%,47.36%,38.05%,19.87%,25.63%,18.21%
Motilal Oswal ELSS Tax Saver Fund - Growth,Regular,ELSS,5,"4,194.64",4.80%,4.66%,13.08%,29.16%,47.41%,67.52%,46.19%,26.63%,26.13%,-
Invesco India Focused Fund - Growth,Regular,Focused Fund,5,"3,249.98",2.67%,2.09%,8.39%,21.46%,43.40%,65.92%,40.41%,21.56%,-,-
Motilal Oswal Midcap Fund - Direct Plan - Growth,Direct Plan,Mid Cap Fund,5,"18,604.02",2.55%,3.95%,12.64%,33.68%,52.81%,72.20%,47.21%,36.99%,35.53%,23.29%
Motilal Oswal Midcap Fund - Growth,Regular,Mid Cap Fund,5,"18,604.02",2.53%,3.86%,12.34%,32.96%,51.51%,70.32%,45.58%,35.46%,33.96%,21.80%
ITI Small Cap Fund - Direct Plan - Growth,Direct Plan,Small Cap Fund,5,"2,415.00",1.91%,0.83%,3.44%,22.32%,35.97%,58.28%,46.18%,23.98%,-,-
ITI Small Cap Fund - Regular Plan - Growth,Regular,Small Cap Fund,5,"2,415.00",1.88%,0.70%,3.00%,21.27%,34.13%,55.55%,43.64%,21.67%,-,-
Invesco India Infrastructure Fund - Growth,Regular,Sectoral/Thematic,5,"1,666.48",1.85%,1.00%,-2.00%,18.24%,39.06%,63.31%,46.58%,29.56%,32.67%,18.88%
Invesco India Large & Mid Cap Fund - Growth,Regular,Large & Mid Cap Fund,5,"6,493.35",1.85%,2.69%,8.46%,24.30%,38.81%,57.47%,37.36%,21.72%,23.28%,17.01%
